Date,BIP,PV,SV,EX,IM,AI,AUI,BAI,SAI,BWS,LFW,BAU,FV,PGOB,VG,HVG,SDL,IK,GW,UDL,OEG,CAPA,WHOUR,lend1,lend2,lend3,lend4,lend5,lend6,lend7,lend8,lend9,lend10
Q1 1991,610.842,340.70393,101.74465,111.20786,100.73269,134.43,37.72,84.61,15.44,546.06,7.48,50.94,36.16,148,128.86,83.64,26.82,9.51,42.71,54.06,104.88,88.7,398.2,349050,689.181,1454152,343421,70914,238813,170250,23717,2249964,864282
Q2 1991,607.909,340.39788,103.34042,104.69402,101.31614,135.81,38.8,84.28,15.55,540.56,7.47,51.17,35.89,145.3,126.7,83.38,27.05,9.22,40.4,54.5,105.68,88.1,369.3,354648,696.264,1498791,354490,73636,245158,174469,25805,2309449,874371
Q3 1991,606.96,334.84554,106.22434,109.75659,102.65808,135.75,38.21,85.15,15.65,539.86,7.43,52.27,36.02,142.4,124.05,81.55,27.08,9,42.69,54.56,107.62,86.9,397.6,358762,706.811,1529001,357925,75193,251039,177040,25053,2358557,886938
Q4 1991,615.673,340.09184,107.24332,109.99285,102.45387,139.25,38.54,89.05,15.66,547.23,7.44,53.9,36.52,143.9,125.47,82.5,27.19,9.42,42.89,54.45,110.32,86,388.4,367619,727.038,1596278,359871,76278,252771,182289,27497,2451491,911783
Q1 1992,624.149,347.13064,109.27656,111.3255,106.00533,143.58,38.61,94.32,15.81,556.2,7.26,54.34,36.94,145,126.42,83.64,28.74,9.88,43.78,56.99,110.99,85.8,403.2,373433,738.954,1628367,355988,79906,259344,185278,27204,2493251,922410
Q2 1992,620.267,346.29999,110.39163,105.96001,102.97161,142.03,37.95,93.52,15.82,552.32,7.24,54.63,36.68,141.6,123.23,82.09,28.4,10.21,43.9,57.75,111.54,80.4,371,382140,753.251,1680463,364204,83677,263707,188701,29488,2564575,940206
Q3 1992,618.8,347.87386,112.02578,108.89584,102.53405,137.92,35.84,92.02,15.88,551.24,7.25,54.65,37.43,138.1,120,82.34,28.37,10.39,44.55,57.96,112.5,79.4,399.2,391914,770.734,1704697,359371,85211,265956,195617,29424,2606541,960036
Q4 1992,617.075,350.27844,112.25649,103.8678,103.99257,138.42,34.13,95.65,15.99,548.06,7.24,56.44,37.8,134.7,116.99,82.54,28.07,10.32,44.78,57.28,112.37,77.6,391.4,393452,778.531,1729263,339926,84452,269122,196113,30714,2648169,970246
Q1 1993,612.179,348.71544,112.72277,100.36618,94.05264,135.29,32.37,94.87,15.81,544.94,7.1,54.25,38.5,131.1,112.91,81.37,28.22,10.66,45.27,58.8,112.78,76.4,393.5,401551,794.832,1737548,332151,87142,271054,197596,30103,2667497,986239
Q2 1993,612.266,346.74803,112.20366,98.07133,94.81114,134.26,31.31,95.35,15.87,544.4,7.11,54.26,39.33,129,111.24,80.85,28.1,10.76,46.04,59.33,113.2,76,365,409615,818.524,1762247,329389,91335,274184,203432,31795,2710469,1007174
Q3 1993,615.889,349.0652,111.93449,98.3413,96.21141,134.87,31.11,96.38,15.95,546.18,7.16,55.32,39.82,128.9,111.12,81.2,27.92,10.89,46.48,59.31,113.08,76,393.2,420051,849.116,1788301,323782,93096,278840,208766,32943,2761157,1035048
Q4 1993,615.371,351.90707,111.76146,100.16369,96.38645,133.1,30.17,95.72,16.01,545.71,7.15,54.34,39.31,129.8,111.84,80.73,27.8,10.95,46.84,59.13,112.73,77,387,437003,896.074,1834672,317082,96015,283387,214535,34235,2848403,1085044
Q1 1994,624.063,352.19121,115.13081,103.48731,98.34046,137.14,30.3,100.67,15.88,550.58,5.52,56.01,39.75,130.4,113.02,82.06,30.22,10.58,47.72,58.01,114.54,78.6,394.2,444210,924.138,1845745,315554,99277,284092,216594,35854,2875704,1106970
Q2 1994,627.513,353.59019,115.95756,108.31401,102.57047,138.72,30.36,102.48,15.93,555.92,5.56,57.23,39.89,132.2,114.66,81.99,30.1,10.66,48.53,58.65,115.62,80.3,363.5,453340,952.642,1867826,317901,102860,286078,222418,35351,2923699,1137356
Q3 1994,631.223,354.90171,116.01524,107.77395,104.6709,139.2,30.95,102,15.99,559.18,5.58,57.16,39.65,132.2,114.71,82.85,30.25,10.86,49.1,59.47,116.33,82.1,391.9,468998,983.17,1891235,316636,106172,288983,229211,36149,2976982,1176447
Q4 1994,638.211,356.34442,117.47648,108.48278,106.59627,142.42,31.72,104.66,16.03,566.08,5.62,58.77,38.97,135.6,118.08,84.21,30.28,10.95,49.45,59.63,116.72,83.2,384.6,462639,1020.477,1884564,315258,106837,291882,213057,37656,3007273,1201425
Q1 1995,635.687,355.8745,116.09203,112.7179,107.04126,138.7,31.18,100.63,16.3,563.5,5.82,55.25,38,132.8,115.06,83.65,29.91,11.08,52.24,60.19,116.84,84.3,395.9,455278,1036.17,1862633,312744,108937,298539,211015,39916,2995570,1205979
Q2 1995,640.777,358.84739,118.14932,113.73034,109.98709,140.3,31.02,102.83,16.35,568.69,5.89,56.64,37.92,133.5,115.56,84.47,29.75,11.25,52.95,60.82,117.96,84.6,360.9,458790,1059.408,1896726,316337,113956,302992,213019,41432,3051755,1229347
Q3 1995,642.071,360.15899,119.95664,114.43905,110.80374,139.79,31.65,101.07,16.4,570.17,5.95,55.39,38.14,132.6,114.54,85.24,29.76,11.45,53.5,61.47,118.79,84,390.3,463009,1085.853,1919313,318480,117463,307733,210325,40826,3098145,1253915
